Model type,Statistic,Shooting type,Media type,Timescale,Effect of...,Shootings,Coverage,Low severity shoot.,High severity shoot.
Two variable,$H_{\rm{max}}$,MPS,TV,Short,Shootings,0.002778531496655242,0.7451098307193158,,
Two variable,$H_{\rm{max}}$,MS,AP,Short,Coverage,9.753463390960155e-05,0.29527807036522324,,
Two variable,$H_{\rm{max}}$,MS,AP,Short,Shootings,0.0013125345191230921,0.10013542199723222,,
Two variable,$H_{\rm{max}}$,MS,MP,Short,Coverage,0.0001274905407059536,0.48235201976621533,,
Two variable,$H_{\rm{max}}$,MS,MP,Short,Shootings,0.004726813528186719,0.07376211606816732,,
Two variable,$H_{\rm{max}}$,MS,TV,Long,Coverage,3.139230242176546e-05,0.12843566445864105,,
Two variable,$H_{\rm{max}}$,MS,TV,Long,Shootings,0.003689827708891675,0.05175804619917346,,
Two variable,$H_{\rm{max}}$,MS,TV,Short,Coverage,3.814865859296334e-05,0.35234233752246374,,
Two variable,$H_{\rm{max}}$,MS,TV,Short,Shootings,0.00011045361363934177,0.1523039615878682,,
Two variable,"$S_{H, \rm{max}}$",MPS,AP,Short,Coverage,0.006452324726439552,6.388678897030594,,
Two variable,"$S_{H, \rm{max}}$",MPS,AP,Short,Shootings,0.0065022347929231715,2.3695979851846554,,
Two variable,"$S_{H, \rm{max}}$",MPS,MP,Short,Coverage,0.005758482825984959,8.978494105776418,,
Two variable,"$S_{H, \rm{max}}$",MPS,MP,Short,Shootings,0.0060925863064997905,3.0452151570014663,,
Two variable,"$S_{H, \rm{max}}$",MPS,TV,Long,Coverage,0.006556822996994187,13.823989595461583,,
Two variable,"$S_{H, \rm{max}}$",MPS,TV,Long,Shootings,0.005124139268494808,2.5070795800088446,,
Two variable,"$S_{H, \rm{max}}$",MPS,TV,Short,Coverage,0.004399882445959313,11.013950878380477,,
Two variable,"$S_{H, \rm{max}}$",MPS,TV,Short,Shootings,0.002987658304738845,2.4451813813893057,,
Two variable,"$S_{H, \rm{max}}$",MS,AP,Short,Coverage,0.004719130406624825,6.068460687094491,,
Two variable,"$S_{H, \rm{max}}$",MS,AP,Short,Shootings,0.0034073824996340347,2.002200768718072,,
Two variable,"$S_{H, \rm{max}}$",MS,MP,Short,Coverage,0.0066265678063950825,9.954598855490069,,
Two variable,"$S_{H, \rm{max}}$",MS,MP,Short,Shootings,0.002605089156141484,1.5512743357633685,,
Two variable,"$S_{H, \rm{max}}$",MS,TV,Long,Coverage,0.007401267909697463,14.586921092381068,,
Two variable,"$S_{H, \rm{max}}$",MS,TV,Long,Shootings,0.0016158012713506137,1.0768018956544847,,
Two variable,"$S_{H, \rm{max}}$",MS,TV,Short,Coverage,0.005655109145954742,11.419332476099344,,
Two variable,"$S_{H, \rm{max}}$",MS,TV,Short,Shootings,0.0042665177696369575,1.7239325179375466,,
