date,numday,pms_count,PMS_numkilled,MP_stories_total,AP_stories_total,TVShoot_stories_total
2000-04-29,119.0,0.0,0,0.0,0,2
2000-04-30,120.0,0.0,0,7.5296707,0,1
2000-05-01,121.0,0.0,0,1.083476,1,0
2000-05-02,122.0,0.0,0,0.81002665,1,1
2000-05-03,123.0,0.0,0,3.0955293,0,0
2000-05-04,124.0,0.0,0,5.392462,0,1
2000-05-05,125.0,0.0,0,1.351067,0,0
2000-05-06,126.0,0.0,0,1.7499201,1,0
2000-05-07,127.0,0.0,0,2.4753873,0,1
2000-05-08,128.0,0.0,0,0.41087726,0,0
2000-05-09,129.0,0.0,0,5.2214108,0,0
2000-05-10,130.0,0.0,0,0.5402905,0,0
2000-05-11,131.0,0.0,0,0.0,0,0
2000-05-12,132.0,0.0,0,0.0,0,0
2000-05-13,133.0,0.0,0,6.5857944,1,1
2000-05-14,134.0,0.0,0,1.8568153,0,1
2000-05-15,135.0,0.0,0,6.4513774,1,3
2000-05-16,136.0,0.0,0,0.0,0,0
2000-05-17,137.0,0.0,0,0.0,0,0
2000-05-18,138.0,0.0,0,0.0,1,0
2000-05-19,139.0,0.0,0,0.0,0,1
2000-05-20,140.0,0.0,0,0.0,0,0
2000-05-21,141.0,0.0,0,4.7812953,0,0
2000-05-22,142.0,0.0,0,2.1269312,0,0
2000-05-23,143.0,0.0,0,0.6784626,0,0
2000-05-24,144.0,0.0,0,0.0,0,0
2000-05-25,145.0,0.0,0,3.4541132,0,0
2000-05-26,146.0,0.0,0,2.7391477,0,1
2000-05-27,147.0,0.0,0,0.6784626,0,2
2000-05-28,148.0,0.0,0,6.610754,0,1
2000-05-29,149.0,0.0,0,1.327182,0,1
2000-05-30,150.0,0.0,0,3.3814583,0,2
2000-05-31,151.0,0.0,0,1.7683473,0,0
2000-06-01,152.0,0.0,0,3.5027447,0,1
2000-06-02,153.0,0.0,0,1.327182,1,1
2000-06-03,154.0,0.0,0,0.0,0,1
2000-06-04,155.0,0.0,0,0.0,0,0
2000-06-05,156.0,0.0,0,1.363334,1,0
2000-06-06,157.0,0.0,0,3.2563012,1,0
2000-06-07,158.0,0.0,0,1.2318743,0,0
2000-06-08,159.0,0.0,0,0.0,0,2
2000-06-09,160.0,0.0,0,2.6841073,0,0
2000-06-10,161.0,0.0,0,0.43090278,0,1
2000-06-11,162.0,0.0,0,0.40501332,0,0
2000-06-12,163.0,0.0,0,1.363334,0,0
2000-06-13,164.0,0.0,0,2.9647133,3,0
2000-06-14,165.0,0.0,0,6.8215923,1,0
2000-06-15,166.0,0.0,0,0.6693392,0,2
2000-06-16,167.0,0.0,0,2.9554646,0,2
2000-06-17,168.0,0.0,0,0.3835185,0,0
2000-06-18,169.0,0.0,0,2.0856063,0,0
2000-06-19,170.0,0.0,0,0.0,0,0
2000-06-20,171.0,0.0,0,0.960536,0,1
2000-06-21,172.0,0.0,0,0.0,0,0
2000-06-22,173.0,0.0,0,1.3478018,0,0
2000-06-23,174.0,0.0,0,0.0,0,0
2000-06-24,175.0,0.0,0,1.327182,0,0
2000-06-25,176.0,0.0,0,6.1446295,0,0
2000-06-26,177.0,0.0,0,0.43090278,0,0
2000-06-27,178.0,0.0,0,0.0,0,0
2000-06-28,179.0,0.0,0,0.0,0,0
2000-06-29,180.0,0.0,0,0.0,0,0
2000-06-30,181.0,0.0,0,0.6784626,0,0
2000-07-01,182.0,0.0,0,0.0,0,1
2000-07-02,183.0,0.0,0,0.6784626,0,0
2000-07-03,184.0,0.0,0,0.6784626,0,0
2000-07-04,185.0,0.0,0,0.0,0,0
2000-07-05,186.0,0.0,0,1.327182,0,1
2000-07-06,187.0,0.0,0,2.8053937,0,1
2000-07-07,188.0,0.0,0,1.3758136,0,0
2000-07-08,189.0,0.0,0,3.0593774,0,0
2000-07-09,190.0,0.0,0,1.327182,0,0
2000-07-10,191.0,0.0,0,0.0,0,0
2000-07-11,192.0,0.0,0,1.363334,0,0
2000-07-12,193.0,0.0,0,0.0,0,0
2000-07-13,194.0,0.0,0,1.363334,0,0
2000-07-14,195.0,0.0,0,4.324446,1,1
2000-07-15,196.0,0.0,0,0.0,0,0
2000-07-16,197.0,0.0,0,2.3086379,0,0
2000-07-17,198.0,0.0,0,0.0,0,1
2000-07-18,199.0,0.0,0,0.40501332,0,0
2000-07-19,200.0,0.0,0,1.327182,0,0
2000-07-20,201.0,0.0,0,1.1250703,1,0
2000-07-21,202.0,0.0,0,3.3503826,0,1
2000-07-22,203.0,0.0,0,0.99343795,0,1
2000-07-23,204.0,0.0,0,2.1269312,0,0
2000-07-24,205.0,0.0,0,0.0,0,0
2000-07-25,206.0,0.0,0,1.9965214,0,0
2000-07-26,207.0,0.0,0,0.0,0,0
2000-07-27,208.0,0.0,0,1.363334,0,0
2000-07-28,209.0,0.0,0,0.0,0,1
2000-07-29,210.0,0.0,0,1.877435,0,1
2000-07-30,211.0,0.0,0,2.5319445,0,0
2000-07-31,212.0,0.0,0,0.65540355,0,0
2000-08-01,213.0,0.0,0,0.0,0,0
2000-08-02,214.0,0.0,0,0.0,0,0
2000-08-03,215.0,0.0,0,0.0,0,0
2000-08-04,216.0,0.0,0,2.1269312,0,1
2000-08-05,217.0,0.0,0,0.0,0,0
2000-08-06,218.0,0.0,0,0.3835185,0,0
2000-08-07,219.0,0.0,0,0.0,0,0
2000-08-08,220.0,0.0,0,0.0,0,0
2000-08-09,221.0,0.0,0,0.0,0,1
2000-08-10,222.0,0.0,0,0.0,0,0
2000-08-11,223.0,0.0,0,1.363334,0,0
2000-08-12,224.0,0.0,0,0.0,0,0
2000-08-13,225.0,0.0,0,1.8897172,0,0
2000-08-14,226.0,0.0,0,1.3758136,0,0
2000-08-15,227.0,0.0,0,2.1269312,0,0
2000-08-16,228.0,0.0,0,0.0,0,0
2000-08-17,229.0,0.0,0,0.21631703,0,0
2000-08-18,230.0,0.0,0,0.5296332,0,0
2000-08-19,231.0,0.0,0,0.0,0,0
2000-08-20,232.0,0.0,0,2.6894662,0,0
2000-08-21,233.0,0.0,0,0.0,0,0
2000-08-22,234.0,0.0,0,0.0,0,0
2000-08-23,235.0,0.0,0,0.0,0,0
2000-08-24,236.0,0.0,0,0.81002665,0,0
2000-08-25,237.0,0.0,0,1.363334,0,1
2000-08-26,238.0,0.0,0,0.0,0,0
2000-08-27,239.0,0.0,0,1.9965214,0,0
2000-08-28,240.0,0.0,0,0.0,0,1
2000-08-29,241.0,0.0,0,0.0,0,0
2000-08-30,242.0,0.0,0,0.0,0,0
2000-08-31,243.0,0.0,0,0.0,0,0
2000-09-01,244.0,0.0,0,0.0,0,1
2000-09-02,245.0,0.0,0,0.5296332,0,0
2000-09-03,246.0,0.0,0,1.7866908,0,0
2000-09-04,247.0,0.0,0,2.7962704,0,2
2000-09-05,248.0,0.0,0,3.773992,0,0
2000-09-06,249.0,0.0,0,0.0,0,0
2000-09-07,250.0,0.0,0,2.1269312,0,0
2000-09-08,251.0,0.0,0,1.363334,0,0
2000-09-09,252.0,0.0,0,0.0,0,0
2000-09-10,253.0,0.0,0,0.5296332,1,0
2000-09-11,254.0,0.0,0,0.0,1,0
2000-09-12,255.0,0.0,0,1.7321954,0,0
2000-09-13,256.0,0.0,0,4.2538624,0,0
2000-09-14,257.0,0.0,0,0.0,0,0
2000-09-15,258.0,0.0,0,1.9446057,0,1
2000-09-16,259.0,0.0,0,0.0,0,0
2000-09-17,260.0,0.0,0,0.41087726,0,0
2000-09-18,261.0,0.0,0,0.0,0,0
2000-09-19,262.0,0.0,0,0.0,0,0
2000-09-20,263.0,0.0,0,0.0,0,0
2000-09-21,264.0,0.0,0,0.0,0,0
2000-09-22,265.0,0.0,0,6.4513774,1,0
2000-09-23,266.0,0.0,0,1.1989725,1,0
2000-09-24,267.0,0.0,0,1.21504,1,0
2000-09-25,268.0,0.0,0,0.5296332,0,0
2000-09-26,269.0,0.0,0,0.0,0,1
2000-09-27,270.0,0.0,0,0.40501332,0,1
2000-09-28,271.0,0.0,0,0.0,0,1
2000-09-29,272.0,0.0,0,0.0,0,0
2000-09-30,273.0,0.0,0,2.1269312,0,0
2000-10-01,274.0,0.0,0,2.5319445,0,2
2000-10-02,275.0,0.0,0,0.0,0,3
2000-10-03,276.0,0.0,0,4.324446,1,0
2000-10-04,277.0,0.0,0,0.40501332,0,0
2000-10-05,278.0,0.0,0,0.0,0,0
2000-10-06,279.0,0.0,0,0.5402905,0,1
2000-10-07,280.0,0.0,0,2.1269312,0,1
2000-10-08,281.0,0.0,0,2.1269312,0,0
2000-10-09,282.0,0.0,0,0.56253517,0,0
2000-10-10,283.0,0.0,0,2.1269312,0,0
2000-10-11,284.0,0.0,0,0.0,0,1
2000-10-12,285.0,0.0,0,0.86180556,2,2
2000-10-13,286.0,0.0,0,3.6541634,2,1
2000-10-14,287.0,0.0,0,1.363334,0,1
2000-10-15,288.0,0.0,0,1.7380594,0,1
2000-10-16,289.0,0.0,0,0.0,0,2
2000-10-17,290.0,0.0,0,1.3758136,0,0
2000-10-18,291.0,0.0,0,0.0,0,0
